"campaignid","sample","family","genus","species","maxn"
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Carangidae","Seriola","dumerili",5
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Monacanthidae","Nelusetta","ayraud",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Pinguipedidae","Parapercis","nebulosa",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Sparidae","Chrysophrys","auratus",4
"2021-05_Abrolhos_stereo-BRUVs","npz6.10","Tetraodontidae","Lagocephalus","sceleratus",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","Apogonidae","Ostorhinchus","spp",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","Chaetodontidae","Chaetodon","assarius",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","Cirrhitidae","Paracirrhites","forsteri",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","Sparidae","Chrysophrys","auratus",4
"2021-05_Abrolhos_stereo-BRUVs","npz6.13","Tetraodontidae","Lagocephalus","sceleratus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Carangidae","Seriola","hippos",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Anampses","geographicus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Austrolabrus","maculatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Bodianus","bilunulatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Choerodon","rubescens",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Coris","auricularis",41
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Labroides","dimidiatus",3
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Labridae","Unknown","sp1",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Lethrinidae","Lethrinus","miniatus",5
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Lethrinidae","Lethrinus","nebulosus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Mullidae","Parupeneus","spilurus",6
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Pomacentridae","Chromis","spp",44
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Pomacentridae","Parma","occidentalis",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Scaridae","Scarus","sp3",3
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Scaridae","Scarus","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Serranidae","Epinephelus","rivulatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","Trygonorrhinidae","Aptychotrema","vincentiana",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.15","Triakidae","Mustelus","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Apogonidae","Ostorhinchus","spp",3
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Carangidae","Seriola","hippos",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Chaetodontidae","Chaetodon","assarius",3
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Cirrhitidae","Paracirrhites","forsteri",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Dasyatidae","Taeniurops","meyeni",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Labridae","Bodianus","solatus",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Labridae","Bodianus","vulpinus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Labridae","Coris","auricularis",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Monacanthidae","Nelusetta","ayraud",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Nempiteridae","Pentapodus","nagasakiensis",3
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Sparidae","Chrysophrys","auratus",3
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Unknown","Unknown","sp",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.18","Haemulidae","Diagramma","pictum labiosum",9
"2021-05_Abrolhos_stereo-BRUVs","npz6.18","Tetraodontidae","Unknown","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Choerodon","rubescens",1
